,Estimate,Std Error,t-stat,P-Value
Intercept,75253.77729123014,95.40218092675538,69.65487014185315,0.0
Feature 1,6645.226523702725,24.291070097442773,2.499144943707686,0.012461087997569953
Feature 2,60.70690501127307,2449.7288936835976,2.8003968655732567,0.005111214715582957
Feature 3,6860.213115375788,2509.006796113646,3.590216752619341,0.00033157174513309684
Feature 4,9007.878231842991,3010.9345882603443,5.750687248235534,9.080107332692933e-09
Feature 5,17314.943141980068,2522.7370243755945,29.830210824236147,0.0
